* *
405.233 435
410.174 430
415.116 420
415.116 420
425 413.333
428.295 410
434.884 400
444.767 400
444.767 400
454.651 395
464.535 400
464.535 400
474.419 400
484.302 405
494.186 405
504.07 406.667
513.953 410
513.953 410
523.837 412.5
533.721 415
543.605 417.5
548.547 420
553.488 422.5
563.372 425
573.256 425
583.14 426.667
593.023 425
597.965 420
602.907 416.667
607.849 410
612.791 400
612.791 400
612.791 400
610.32 390
609.496 380
610.32 370
607.849 360
602.907 355
597.965 350
593.023 340
597.965 330
602.907 320
602.907 320
612.791 310
612.791 310
622.674 300
622.674 300
632.558 296.667
642.442 290
642.442 290
648.372 280
652.326 273.333
655.62 270
662.209 260
662.209 260
672.093 250
672.093 250
678.682 240
681.977 235
685.271 230
691.86 220
691.86 220
696.802 210
696.802 200
697.791 190
696.802 180
693.272 170
691.86 165
690.449 160
690.213 150
691.86 145
693.272 140
691.86 136.667
681.977 132
678.682 130
672.093 126
662.209 120
662.209 120
652.326 115
642.442 113.333
632.558 110
632.558 110
622.674 107.5
612.791 107.5
602.907 105
593.023 105
583.14 106.667
573.256 107.5
563.372 110
553.488 110
553.488 110
543.605 113.333
533.721 116.667
523.837 120
513.953 120
513.953 120
504.07 123.333
494.186 125
484.302 126.667
474.419 130
464.535 130
454.651 130
444.767 130
444.767 130
434.884 132
425 134
415.116 134
405.233 135
395.349 136
385.465 137.5
375.581 135
365.698 130
365.698 130
355.814 125
348.401 120
345.93 118
336.047 113.333
331.105 110
326.163 106.667
319.574 100
316.279 96.6667
309.69 90
306.395 87.5
298.983 80
296.512 76.6667
289.922 70
286.628 66.6667
276.744 60
276.744 60
266.86 53.3333
263.566 50
256.977 43.3333
252.035 40
247.093 35
237.209 36.6667
227.326 40
227.326 40
217.442 50
217.442 50
207.558 60
207.558 60
202.616 70
197.674 80
197.674 80
194.38 90
187.791 100
187.791 100
181.202 110
177.907 115
172.965 120
168.023 123.333
158.14 130
158.14 130
148.256 131.429
138.372 136.667
* *
148.256 138.571
145.785 140
138.372 145
133.43 150
128.488 155
118.605 160
118.605 160
111.545 170
108.721 174
105.756 180
102.132 190
98.8372 197.5
97.6017 200
94.6013 210
91.7774 220
88.9535 230
88.9535 230
87.5415 240
86.1296 250
81.7653 260
79.9683 270
79.0698 273.333
76.2458 280
69.186 288.333
67.5388 290
59.3023 300
59.3023 300
55.3488 310
55.3488 320
56.0078 330
57.3256 340
59.3023 350
59.3023 360
59.3023 370
59.3023 380
59.3023 380
62.5969 390
66.7151 400
69.186 405
72.4806 410
79.0698 416.667
84.0116 420
88.9535 422.5
98.8372 430
98.8372 430
108.721 440
108.721 440
118.605 450
118.605 450
128.488 460
128.488 460
135.078 470
138.372 473.333
143.314 480
148.256 485
154.845 490
158.14 492.5
165.552 500
168.023 501.429
177.907 507.5
181.202 510
187.791 513.333
197.674 520
197.674 520
207.558 522
217.442 525
227.326 528
237.209 528
247.093 528.333
256.977 530
256.977 530
266.86 532.857
276.744 532.857
286.628 532
296.512 531.667
306.395 530
306.395 530
316.279 520
316.279 520
326.163 516
336.047 510
336.047 510
345.93 503.333
352.519 500
355.814 498
365.698 490
365.698 490
375.581 480
375.581 480
381.512 470
382.994 460
382.994 450
385.465 440
385.465 440
388.76 430
392.878 420
395.349 416.667
405.233 410
405.233 410
415.116 403.333
418.411 400
425 390
425 390
432.413 380
434.884 376.667
444.767 376.667
454.651 375
464.535 376.667
474.419 380
474.419 380
484.302 383.333
494.186 385
504.07 390
504.07 390
513.953 393.333
523.837 390
533.721 400
533.721 400
543.605 400
553.488 410
553.488 410
563.372 410
573.256 410
583.14 410
583.14 410
593.023 400
593.023 400
593.023 390
593.023 380
593.023 370
593.023 370
583.14 360
583.14 360
573.256 360
563.372 350
563.372 340
563.372 330
573.256 320
573.256 320
573.256 310
583.14 300
583.14 300
593.023 295
597.965 290
602.907 286.667
612.791 285
622.674 280
622.674 280
632.558 276.667
642.442 273.333
644.419 270
649.855 260
652.326 255
655.62 250
662.209 240
662.209 240
668.798 230
672.093 225
675.388 220
681.977 210
681.977 210
684.448 200
685.271 190
685.271 180
683.953 170
683.389 160
681.977 150
681.977 150
672.093 140
672.093 140
662.209 133.333
652.326 130
652.326 130
642.442 127.5
632.558 126.667
622.674 123.333
612.791 123.333
602.907 120
602.907 120
593.023 120
583.14 120
583.14 120
573.256 125
563.372 125
553.488 130
553.488 130
543.605 133.333
533.721 136.667
523.837 140
513.953 140
513.953 140
504.07 143.333
494.186 143.333
484.302 143.333
474.419 143.333
464.535 143.333
454.651 143.333
444.767 143.333
434.884 145
425 146.667
415.116 146.667
405.233 147.5
395.349 147.5
385.465 150
375.581 147.5
365.698 142.5
362.403 140
355.814 135
345.93 130
345.93 130
336.047 127.5
326.163 123.333
321.221 120
316.279 116.667
309.69 110
306.395 105
301.453 100
296.512 96.6667
289.922 90
286.628 86.6667
276.744 80
276.744 80
266.86 70
266.86 70
256.977 63.3333
247.093 60
247.093 60
237.209 60
237.209 60
227.326 70
227.326 70
220.736 80
217.442 85
212.5 90
207.558 100
207.558 100
197.674 110
197.674 110
190.262 120
187.791 122.5
180.378 130
177.907 131.667
168.023 136
158.14 137.143
148.256 138.571
* *
158.14 144.286
148.256 146.667
143.314 150
138.372 152.857
131.312 160
128.488 162.5
118.605 170
118.605 170
111.545 180
108.721 186.667
107.623 190
103.779 200
102.132 210
98.8372 220
98.8372 220
97.1899 230
94.6013 240
92.6599 250
88.9535 255
86.2579 260
84.4609 270
82.3643 280
79.0698 287.5
77.093 290
69.186 298
67.5388 300
65.2326 310
66.7151 320
66.7151 330
69.186 340
69.186 340
71.1628 350
71.657 360
71.657 370
75.7752 380
79.0698 390
79.0698 390
85.6589 400
88.9535 405
93.8953 410
98.8372 415
100.814 420
108.721 428
111.192 430
118.605 436
122.558 440
128.488 447.5
130.959 450
138.372 457.5
140.349 460
148.256 470
148.256 470
158.14 480
158.14 480
168.023 490
168.023 490
177.907 495
187.791 500
187.791 500
197.674 507.5
207.558 510
207.558 510
217.442 514
227.326 517.5
237.209 518.333
247.093 520
247.093 520
256.977 523.75
266.86 525.714
276.744 525
286.628 523.333
296.512 522
301.453 520
306.395 518
316.279 511.667
319.574 510
326.163 506.667
336.047 501.667
338.517 500
345.93 495
353.343 490
355.814 488
363.721 480
365.698 476.667
370.64 470
371.628 460
372.287 450
375.581 440
375.581 440
377.558 430
381.512 420
385.465 410
385.465 410
395.349 400
395.349 400
405.233 395
411.822 390
415.116 386.667
420.058 380
425 373.333
427.471 370
434.884 362.5
444.767 360
454.651 360
464.535 360
474.419 363.333
484.302 363.333
489.244 360
494.186 356.667
504.07 360
504.07 360
513.953 360
513.953 360
523.837 350
523.837 350
533.721 340
533.721 340
533.721 330
538.663 320
540.31 310
543.605 305
548.547 300
553.488 295
558.43 290
563.372 286.667
573.256 283.333
583.14 280
583.14 280
593.023 275
602.907 270
602.907 270
612.791 266.667
622.674 263.333
632.558 260
632.558 260
642.442 250
642.442 250
649.855 240
652.326 235
654.797 230
658.915 220
662.209 215
665.504 210
668.798 200
668.798 190
668.798 180
665.504 170
662.209 160
662.209 160
652.326 150
652.326 150
642.442 140
642.442 140
632.558 140
622.674 140
612.791 140
602.907 140
602.907 140
593.023 145
583.14 145
573.256 145
563.372 150
563.372 150
553.488 155
543.605 155
533.721 156.667
523.837 156.667
513.953 156.667
504.07 160
494.186 160
484.302 160
474.419 160
474.419 160
464.535 163.333
454.651 165
444.767 165
434.884 165
425 166.667
415.116 166.667
405.233 166.667
395.349 165
385.465 160
385.465 160
375.581 160
365.698 155
355.814 153.333
345.93 150
345.93 150
336.047 150
326.163 140
326.163 140
316.279 136.667
309.69 130
306.395 126.667
299.806 120
296.512 116.667
286.628 110
286.628 110
276.744 100
276.744 100
266.86 90
266.86 90
256.977 85
247.093 83.3333
237.209 85
232.267 90
227.326 93.3333
222.384 100
217.442 105
212.5 110
207.558 115
202.616 120
197.674 125
192.733 130
187.791 132.857
177.907 140
177.907 140
168.023 143.333
158.14 144.286
* *
168.023 148.889
163.081 150
158.14 152.5
148.256 156
138.372 160
138.372 160
128.488 168.75
126.841 170
118.605 180
118.605 180
113.663 190
110.368 200
110.368 210
108.721 215
107.074 220
104.485 230
102.132 240
98.8372 250
98.8372 250
92.2481 260
88.9535 270
88.9535 270
87.8553 280
83.0233 290
79.0698 296.667
75.7752 300
75.1163 310
77.093 320
77.093 330
79.0698 340
79.0698 340
80.168 350
82.3643 360
85.6589 370
88.9535 375
90.9302 380
95.5426 390
98.8372 395
100.814 400
105.426 410
108.721 416.667
111.192 420
118.605 426
123.547 430
128.488 435
133.43 440
138.372 445
142.326 450
148.256 457.5
151.55 460
158.14 466.667
161.434 470
168.023 476.667
171.318 480
177.907 484
187.791 488.333
191.085 490
197.674 495
207.558 498.75
210.853 500
217.442 504
227.326 507.143
237.209 510
237.209 510
247.093 512.857
256.977 516.667
266.86 518
276.744 516
286.628 515.714
296.512 512
301.453 510
306.395 508.571
316.279 504.286
323.692 500
326.163 498.333
336.047 493.333
340.988 490
345.93 486
353.343 480
355.814 475
358.285 470
361.744 460
364.286 450
365.698 446.667
368.522 440
368.992 430
370.64 420
373.11 410
375.581 400
375.581 400
385.465 395
392.054 390
395.349 387.5
405.233 380
405.233 380
412.645 370
415.116 366.667
425 360
425 360
434.884 350
434.884 350
444.767 343.333
454.651 343.333
464.535 343.333
474.419 343.333
484.302 343.333
489.244 340
494.186 336.667
504.07 330
504.07 330
513.953 320
513.953 320
518.895 310
523.837 300
523.837 300
533.721 290
533.721 290
540.31 280
543.605 275
553.488 270
553.488 270
563.372 260
573.256 260
583.14 260
593.023 260
593.023 260
602.907 250
612.791 250
612.791 250
622.674 240
632.558 240
632.558 240
642.442 230
642.442 230
642.442 220
642.442 210
642.442 200
652.326 190
652.326 190
652.326 190
642.442 180
642.442 170
642.442 170
632.558 160
632.558 160
622.674 160
612.791 160
602.907 160
602.907 160
593.023 170
583.14 170
583.14 170
573.256 180
563.372 180
553.488 180
543.605 180
533.721 180
523.837 176.667
513.953 173.333
504.07 173.333
494.186 173.333
484.302 175
474.419 180
474.419 180
464.535 182
454.651 183.333
444.767 186.667
434.884 186.667
425 190
415.116 190
405.233 186.667
395.349 183.333
385.465 180
385.465 180
375.581 173.333
365.698 173.333
355.814 172.5
345.93 170
345.93 170
336.047 170
326.163 166.667
316.279 160
316.279 160
311.337 150
306.395 146.667
299.806 140
296.512 136.667
289.922 130
286.628 126.667
276.744 122.5
271.802 120
266.86 115
261.919 110
256.977 105
247.093 105
237.209 105
232.267 110
227.326 112
217.442 120
217.442 120
207.558 126
203.605 130
197.674 134.286
187.791 140
187.791 140
177.907 147.143
168.023 148.889
* *
177.907 156
168.023 160
168.023 160
158.14 165
148.256 167.5
138.372 168.333
136.395 170
128.488 178
126.841 180
120.017 190
118.605 200
118.605 200
118.605 210
115.31 220
112.016 230
110.133 240
108.721 243.333
105.897 250
100.814 260
98.8372 265
97.1899 270
93.8953 280
88.9535 288
87.9651 290
84.0116 300
83.3056 310
84.7176 320
85.6589 330
85.2471 340
85.6589 350
88.9535 357.5
90.6008 360
95.5426 370
98.8372 376.667
100.814 380
105.426 390
108.721 396.667
110.133 400
113.663 410
118.605 416
125.194 420
128.488 422.5
135.901 430
138.372 432.5
144.302 440
148.256 445
153.198 450
158.14 454
164.07 460
168.023 464
175.436 470
177.907 472.5
187.791 480
187.791 480
197.674 485
203.605 490
207.558 492.5
217.442 496.25
227.326 500
227.326 500
237.209 502.857
247.093 505.714
256.977 508.333
266.86 508.333
276.744 507.5
286.628 508.75
296.512 505
306.395 501.429
309.69 500
316.279 496
326.163 490
326.163 490
336.047 482.5
339.341 480
345.93 475
349.225 470
352.99 460
355.814 453.333
357.226 450
360.756 440
360.756 430
359.767 420
359.109 410
362.403 400
365.698 396.667
372.287 390
375.581 387.5
385.465 380
385.465 380
395.349 373.333
398.643 370
405.233 360
405.233 360
415.116 350
415.116 350
425 340
425 340
429.942 330
434.884 325
444.767 323.333
454.651 330
454.651 330
464.535 330
474.419 330
484.302 330
484.302 330
494.186 322.5
497.481 320
504.07 310
504.07 310
509.012 300
513.953 290
513.953 290
520.543 280
523.837 270
523.837 270
528.779 260
533.721 250
533.721 250
533.721 240
533.721 230
533.721 220
533.721 210
533.721 210
523.837 205
518.895 200
513.953 190
513.953 190
504.07 187.5
494.186 186
484.302 186
474.419 188.333
469.477 190
464.535 192
454.651 196
444.767 200
444.767 200
434.884 202.5
425 202
415.116 200
415.116 200
405.233 200
395.349 196
385.465 190
385.465 190
375.581 187.5
365.698 187.5
355.814 186.667
345.93 185
336.047 183.333
326.163 180
326.163 180
316.279 176.667
309.69 170
306.395 166.667
301.453 160
296.512 153.333
293.217 150
286.628 143.333
283.333 140
276.744 135
266.86 130
266.86 130
256.977 126.667
247.093 123.333
237.209 123.333
227.326 123.333
217.442 128.333
214.971 130
207.558 136
200.969 140
197.674 142.5
190.262 150
187.791 152
177.907 156
* *
191.085 160
197.674 155
204.264 150
207.558 147.5
214.971 140
217.442 138
227.326 137.5
237.209 140
247.093 140
256.977 140
256.977 140
266.86 142.5
276.744 150
276.744 150
286.628 160
286.628 160
296.512 170
296.512 170
306.395 180
306.395 180
316.279 190
316.279 190
326.163 194
336.047 197.5
345.93 200
355.814 200
365.698 200
375.581 200
385.465 200
385.465 200
395.349 206
405.233 210
405.233 210
415.116 212.5
425 213.333
434.884 216.667
444.767 210
444.767 210
454.651 206
464.535 202
469.477 200
474.419 198
484.302 197.5
494.186 197.5
499.128 200
501.599 210
504.07 220
504.07 220
510.659 230
510.659 240
509.012 250
507.364 260
504.07 270
504.07 270
501.599 280
497.481 290
494.186 300
494.186 300
484.302 310
484.302 310
474.419 315
464.535 313.333
459.593 310
454.651 305
444.767 300
434.884 303.333
425 305
420.058 310
415.116 320
415.116 320
412.645 330
405.233 340
405.233 340
395.349 350
395.349 350
388.76 360
385.465 365
380.523 370
375.581 373.333
368.992 380
365.698 382.5
355.814 390
355.814 390
348.401 400
349.225 410
350.872 420
351.86 430
351.86 440
347.907 450
345.93 460
345.93 460
336.047 470
336.047 470
326.163 480
326.163 480
316.279 486.667
311.337 490
306.395 493.333
296.512 498.889
293.217 500
286.628 502.5
276.744 501.25
266.86 500
256.977 500
256.977 500
247.093 498.571
237.209 495
227.326 491.667
217.442 490
217.442 490
207.558 485
201.628 480
197.674 476.667
187.791 470
187.791 470
177.907 462
175.436 460
168.023 452.5
165.552 450
158.14 444
154.186 440
148.256 432.5
146.279 430
138.372 420
138.372 420
128.488 412
125.194 410
118.605 403.333
117.193 400
113.663 390
110.133 380
108.721 376.667
104.767 370
98.8372 360
98.8372 360
92.2481 350
92.2481 340
93.8953 330
92.2481 320
91.4244 310
93.8953 300
96.8605 290
98.8372 285
101.308 280
108.721 270
108.721 270
110.698 260
114.651 250
117.193 240
118.605 235
120.252 230
123.547 220
125.664 210
126.841 200
127.076 190
128.488 188
138.372 180
138.372 180
148.256 180
158.14 177.5
168.023 175
177.907 170
177.907 170
187.791 162
191.085 160
* *
197.674 167.5
192.733 170
187.791 171.667
177.907 177.143
173.953 180
168.023 184.286
158.14 188
148.256 190
148.256 190
138.372 200
138.372 200
133.43 210
131.312 220
128.488 230
128.488 230
126.512 240
124.535 250
121.076 260
118.605 270
118.605 270
113.663 280
108.721 290
108.721 290
106.25 300
103.779 310
101.308 320
102.791 330
101.308 340
101.308 350
107.074 360
108.721 362.5
112.957 370
117.193 380
118.605 383.333
121.899 390
128.488 400
128.488 400
138.372 407.5
140.843 410
148.256 420
148.256 420
158.14 430
158.14 430
168.023 440
168.023 440
177.907 450
177.907 450
187.791 460
187.791 460
197.674 468
199.651 470
207.558 476.667
214.147 480
217.442 481.667
227.326 483.333
237.209 487.143
243.798 490
247.093 491.429
256.977 494.444
266.86 495
276.744 495.556
286.628 496.667
296.512 493.333
301.453 490
306.395 485.714
314.302 480
316.279 477.5
322.209 470
326.163 460
326.163 460
336.047 450
336.047 450
340.988 440
341.977 430
341.977 420
340.988 410
340.282 400
340.988 390
343.459 380
345.93 375
350.872 370
355.814 365
365.698 360
365.698 360
375.581 350
375.581 350
380.523 340
385.465 335
395.349 330
395.349 330
405.233 323.333
406.88 320
409.468 310
411.822 300
415.116 290
415.116 290
425 280
434.884 280
444.767 283.333
454.651 280
464.535 290
464.535 290
474.419 293.333
479.36 290
484.302 285
487.597 280
491.715 270
494.186 265
496.163 260
497.481 250
499.128 240
496.657 230
494.186 225
491.715 220
487.597 210
484.302 208
474.419 208
469.477 210
464.535 212
454.651 216
448.062 220
444.767 230
444.767 230
434.884 235
429.942 240
425 245
420.058 240
415.116 230
415.116 230
405.233 223.333
400.291 220
395.349 217.5
385.465 213.333
375.581 212.5
365.698 212
355.814 211.667
345.93 210
345.93 210
336.047 208
326.163 204
316.279 200
316.279 200
306.395 193.333
303.924 190
296.512 182.5
294.041 180
286.628 174
280.039 170
276.744 166.667
270.155 160
266.86 156.667
256.977 155
247.093 152.5
237.209 152.5
227.326 150
227.326 150
227.326 150
217.442 153.333
210.853 160
207.558 162.5
197.674 167.5
* *
217.442 170
217.442 170
227.326 166.667
237.209 165
247.093 166.667
256.977 167.5
261.919 170
266.86 172.5
276.744 178
280.039 180
286.628 186.667
289.922 190
296.512 196.667
298.983 200
306.395 206
316.279 210
316.279 210
326.163 214
336.047 218
345.93 220
355.814 220
355.814 220
365.698 222.5
375.581 225
385.465 230
385.465 230
395.349 236.667
398.643 240
402.762 250
405.233 260
405.233 260
405.233 270
405.233 270
402.762 280
400.291 290
399.302 300
398.643 310
395.349 313.333
385.465 317.5
375.581 320
375.581 320
365.698 330
365.698 330
355.814 340
355.814 340
345.93 340
345.93 340
345.93 330
345.93 320
343.459 310
336.047 300
336.047 300
329.457 290
326.163 285
321.221 280
316.279 276.667
306.395 270
306.395 270
296.512 267.5
286.628 262.5
276.744 265
266.86 268
261.919 270
256.977 272.5
247.093 277.5
245.116 280
237.209 290
237.209 290
229.797 300
227.326 305
225.349 310
224.031 320
224.031 330
224.031 340
225.349 350
227.326 360
227.326 360
232.267 370
237.209 376.667
240.504 380
247.093 384
256.977 390
256.977 390
266.86 392.5
276.744 392
286.628 390
286.628 390
296.512 388
306.395 383.333
316.279 380
316.279 380
326.163 380
326.163 380
326.163 390
329.457 400
332.093 410
332.093 420
332.093 430
326.163 440
326.163 440
322.209 450
317.926 460
316.279 463.333
311.337 470
306.395 476.667
301.453 480
296.512 483.333
289.922 490
286.628 491.111
276.744 490
266.86 490
266.86 490
256.977 488.333
247.093 484.286
237.209 480
237.209 480
227.326 475.714
217.442 472
212.5 470
207.558 467.5
200.145 460
197.674 457.5
190.262 450
187.791 447.5
180.378 440
177.907 436.667
172.965 430
168.023 423.333
164.729 420
158.14 413.333
154.845 410
148.256 405
143.314 400
138.372 395
131.783 390
128.488 385
126.512 380
120.581 370
118.605 365
116.628 360
113.663 350
113.663 340
112.016 330
113.663 320
118.605 310
118.605 310
120.252 300
122.558 290
126.017 280
128.488 270
128.488 270
131.783 260
133.43 250
135.078 240
136.725 230
138.372 220
138.372 220
148.256 210
148.256 210
158.14 200
158.14 200
168.023 193.333
171.318 190
177.907 186
187.791 180
187.791 180
197.674 178
207.558 175
217.442 170
* *
227.326 180
227.326 180
237.209 180
237.209 180
247.093 182.5
256.977 182.5
266.86 185
273.45 190
276.744 193.333
283.333 200
286.628 203.333
293.217 210
296.512 212.5
303.924 220
306.395 225
316.279 226.667
326.163 226.667
336.047 228
340.988 230
345.93 232.5
355.814 232.5
365.698 235
375.581 237.5
380.523 240
